col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Voltagem carregador,Kit,Tensão carregador,Conj. corte,Diâmetro de corte (mm),,Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,FA10-011-5705,869,FSA 30.0 Roçadeira a bateria,1,-,Não acompanha bateria e carregador,10.8,Polycut 3-2,"Diâmetro de corte da lâmina
plástica [mm] 230
Diâmetro de corte com fio
de nylon [mm] 250
Diâmetro do fio de corte [mm] 1,6",,até 19 [Polycut 3-2],2.1,,,,,
,,,FA10-011-5717,1209,FSA 30.0 SET Roçadeira a bateria,1,127V,"Bateria AS 2
Carregador AL 1 -127v ",,Polycut 3-2,,,,2.4,,,,,
,,,FA10-011-5718,1209,FSA 30.0 SET Roçadeira a bateria,1,220V,"Bateria AS 2
Carregador AL 1 -220v ",,Polycut 3-2,,,,2.24,,,,,
 ,,,,,,,,,,,,,,,,,,,
FSA 45,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Voltagem carregador,Kit,Tensão carregador,Conj. corte,Diâmetro de corte (mm),,Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,4512-011-5707,649,FSA 45 Roçadeira a bateria,1,Bivolt,Bateria integrada e carregador,18,PolyCut 2-2 ,"Lâminas plásticas:  230
Fio de nylon : 250",,"Lâminas plásticas:  20
Fio de nylon : 12",2.3,,,,,
 ,,,,,,,,,,,,,,,,,,,
FSA 57,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Conj. corte,,Diâmetro de corte (mm),"Peso 
[kg]",,,,,
,,,4522-011-5747,1399,"FSA 57 SET Roçadeira a bateria, AutoCut",1,AK 10,"Bateria AK 10
Carregador AL 101 -127v",127V,36,AutoCut C 3-2,,280,3.5,,,,,
,,,4522-011-5746,1399,"FSA 57 SET Roçadeira a bateria, AutoCut",1,,"Bateria AK 10
Carregador AL 101 - 220v",220V,,,,,,,,,,
,,,4522-011-5730,859,"FSA 57 Roçadeira a bateria, AutoCut C3-2",1,,Não acompanha bateria ou carregador,-,,,,,,,,,,
FSA 86,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Conj. corte,,Diâmetro de corte (mm),"Peso 
[kg]",,,,,
,,,FA05-011-5700,1999,FSA 86 R Roçadeira a bateria,1,AP 300S,Não acompanha bateria ou carregador,-,36,AutoCut C 6-2,,350,4.5,,,,,
FSA 135,,,,,,,,,,,,,,,,,,,
,,,"Código
Material","Preço
Real",Descrição,"Qtde.
Min.",Bateria recomendada,Kit,Tensão carregador ,Tensão Nominal Bateria (V),Conjunto de corte,,,"Peso 
[kg]",,,,,
,,,FA01-200-0000,3949,"FSA 135 Roçadeira a bateria, AutoCut C 2",1,AP 300 S,Não acompanha bateria ou carregador,-,36,AutoCut C 26-2,,,4.9,,,,,
,,,FA01-200-0001,3799,"FSA 135 Roçadeira a bateria,GSB 260-2",1,,,-,,Lâmina 260-2,,,4.9,,,,,
KMA 135 R,,,,,,,,,,,,,,,,,,,
,,,"Código
Material","Preço
Real",Descrição,"Qtde.
Min.",Bateria recomendada,Kit,Tensão carregador ,Tensão Nominal Bateria (V),Conjunto de corte,,,"Peso 
[kg]",,,,,
,,,FA02-011-6800,2699,KMA 135 R Motor combinado a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,Implementos KM,,,3.4,,,,,
,,Implementos KM / KMA,,,,,,,,,,,,,,,,,
,,,,,Código Material,Preço Real,Qtde. Min.,Descrição,Comentários,,,Modelo,,Peso,,,,,
,,,,1,4601-740-5000,1719,1,BF-KM Cultivador do solo,,,,KM55/85 / KMA135R,,4.142,,,,,
,,,,2,4243-740-5003,1729,1,HL-KM 145° Podador especial,,,,KM55/85 / KMA135R,,2.742,,,,,
,,,,3,4606-740-5000,739,1,BG-KM Soprador axial,,,,KM55/85 / KMA135R,,1.736,,,,,
,,,,4,4182-200-0212,1269,1,"Implem. KM - HT Motopoda,30cm/12"",71PM3",,,,HT-KM55/85R / KMA135R,,2.384,,,,,
,,,,5,4182-200-0208,1249,1,"Implem. KM - HT Motopoda,30cm/12"",61PMM3",,,,HT-KM55/85R /  KMA135R,,2.384,,,,,
,,,,6,4180-740-5002,759,1,FCB-KM Aparador de cantos,,,,FCB-KM55/85 / KMA135R,,2.86,,,,,
,,,,7,4180-710-7141,489,1,FS-KM Roçadeira,"Não acompanha Jogo de proteção, Kit de peças para fixação da lâmina e arruela 4137-710-3800",,,FS-KM55/85 / KMA135R,,1.045,,,,,
,,,,,4140-710-7131,434.04,1,Tubo do eixo 1 m,Prolongador da haste,,,HT-KM85R / KMA135R,,,,,,,
HSA 26,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão Nominal [V],"Autonomia 
[min]",Lâmina poda arburtos [mm],Lâmina corte grama [mm],"Peso 
[kg]",,,,,
,,,HA03-011-3509,849,HSA 26 SET 127V Podador de arbustos a ba,1,AS 2,"Máquina com lâmina para arbustos, lâmina para grama,  carregador,  bateria e bolsa",127 V,10.8,80 / 120,200,120,0.8,,,,,
,,,HA03-011-3518,849,HSA 26 SET 220V Podador de arbustos a ba,1,,,220 V,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão Nominal [V],"Autonomia 
[min]",Lâmina poda arburtos [mm],Lâmina corte grama [mm],"Peso 
[kg]",,,,,
,,,HA03-011-3503,509,HSA 26 Podador de arbustos a bateria,1,AS 2,Não acompanha bateria e carregador,-,10.8,80 / 120,200,120,0.8,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,,,Comentário,,,,,"Peso 
[kg]",,,,,
,,,HA03-710-7100,341.66,Haste telescópica,1,-,GTA26,A haste telescópica é um excelente acessório para cortar as bordas do gramado de maneira prática e confortável,,,,,0.45,,,,,
HSA 30.0,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Compr. da lâmina [cm],Espaço entre dentes (mm),,"Peso 
[kg]",,,,,
,,,HA08-011-3504,899,"HSA 30.0 Podador a bateria, 450mm/18""",1,AS 2,Não acompanha bateria ou carregador,-,10.8,45,22,,2,,,,,
,,,HA08-011-3511,1189,"HSA 30.0 SET Podador a bateria, 220V,",1,,"Bateria AS 2
Carregador AL 1 - 220V",220V,,,,,,,,,,
,,,HA08-011-3512,1189,"HSA 30.0 SET Podador a bateria, 127V,",1,,"Bateria AS 2
Carregador AL 1 - 127V",127V,,,,,,,,,,
HSA 40.0,,,,,,,,,,,,,,,,,,,
