col,col,código_material,preço_real,qtde_min,descrição,cilindrada_cm³,pot,col,peso,conjunto_de_corte
,,4147-200-0522,4039,1,FR 410 Roçadeira Lâmina 260-2,,,,,2 FACAS 260mm
,,4147-200-0521,3979,1,FR 410 RoçadeiraTrimCut C 32-2,,,,,TrimCut 32-2
ROÇADEIRAS ELÉTRICAS,,,,,,,,,,
FSE 41,,,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4815-011-4111,569,1,"FSE 41 Roçadeira eléctrica, 127V",-,0.4,-,2.6,"Carretel de nylon 1,4 mm"
,,4815-011-4112,569,1,"FSE 41 Roçadeira eléctrica, 220V",,,,,"Carretel de nylon 1,4 mm"
FSE 60,,,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,,4809-011-4103,969,2,"FSE 60 Roçadeira eléctrica, 127V",-,0.6,-,4,AutoCut 6-2
,,4809-011-4121,969,2,"FSE 60 Roçadeira eléctrica, 220V",,0.6,-,3.9,AutoCut 6-2
FERRAMENTA MULTIFUNCIONAL,,,,,,,,,,
KA 85 R,,,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Descrição,"Cilindrada
[cm³]",Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,1,4137-200-0323,2099,1,KA 85 R Roçadeira - Lâmina 3 Facas 250mm,25.4,0.95,1.3,6.726,3 FACAS 250mm
,2,4137-200-0324,2069,1,KA 85 R Roçadeira - Lâmina 2 Facas 230mm,,,,6.596,2 FACAS 230mm
,3,4137-200-0396,2119,1,KA 85 R Roçadeira - Trimcut 32-2,,,,6.841,TrimCut 32-2
,4,4137-200-0341,2969,1,KA 85 R BF - Cultivador de Solo,,,,12.124,CULTIVADOR DE SOLO
,5,4137-200-0342,3089,1,KA 85 R HL 145° - Podador Especial,,,,7.185,HL PODADOR ESPECIAL
,7,4137-200-0399,2819,1,"KA 85 R HT Motopoda 30cm/12"",61PMM3,
passo da corrente: 3/8""",,,,9.765,"HT MOTOPODA - 30cm/12"",61PM3"
