código_material,preço_real,descrição,modelos_compativeis
0000-400-7000,25.9,Vela de ignição NGK BPMR7A,Bpmr7a-Todas MS/FS(exceto FS 130)KA85R/120/HS45/BR430/BT121/TS800/P835/840/SR400/420/HS80/SP80/80K/81/HT75/KM55/PC70/75/HT70K/KA120/BG50/MS651/661
0000-400-7009,28.43,Vela de ignição Bosch USR7AC,HT101/HS81R
0000-400-7011,28.43,Vela de ignição NGK CMR6H,HT131/133/FS130/460/BR600/800/BT130/HS82R/BG/SH56/MS194T/MS462
0000-405-1005,18.41,Terminal da vela,FS460/HT133
0000-405-1007,18.41,Terminal da vela,MS193T/194T/MS462
0000-430-0200,54.38,Chave do interruptor,FS38
0000-430-4801,11.9,Bujão,MS362
0000-430-8900,12.2,Sensor do interruptor,BG56/SH56
0000-440-2000,62.43,Cabo de conexão BR,HSE52/HSE61/FSE41
0000-448-1203,6.38,Porta-cabos,MS025/250/FS160/220/FR220
0000-448-1206,6.38,Porta-cabos,MS 651
0000-448-1250,8.09,Porta-cabos,MS034/036/360/038/039/310/390/046/460/06
0000-640-2001,75.36,"Pinhão da corrente 1/4""P 8 Z",HT133
0000-640-2002,29.38,"Pinhão da corrente 3/8""P 6 Z",HT70/75/131
0000-640-2003,36.94,"Pinhão da corrente 3/8""P 7 Z",HT131/HT75
0000-642-1207,37.65,"Rolete do pinhão 0.404"" 7d",passo 404MS08/066/660/650
0000-642-1215,37.65,"Rolete do pinhão 3/8"" 8d",MS051/076
0000-642-1216,37.65,"Rolete do pinhão 3/8"" 8d",MS046/361/362/460/462/051/066/076/660/650
0000-642-1223,37.65,"Rolete do pinhão 3/8"" 7d",MS036/360/361/038/046/460/066/660/650/46
0000-642-1231,37.65,"Rolete do pinhão 3/8"" 7d",MS034/036/039/310/360/390/260
0000-642-1234,37.65,"Rolete do pinhão 0.325"" 8d",MSA300
0000-642-1236,37.65,"Rolete do pinhão 0.325"" 7d",MS260
0000-656-7700,7.1,Segurança da corrente,MS362
0000-660-0800,35.46,Batente de garras,MS260/261/361/362
0000-660-0801,27.36,Batente de garras,MS462
0000-664-2401,9.69,Parafuso com colar D6,MS192T
0000-664-2402,11.91,Parafuso com colar D8,MS193T/194T
0000-664-2406,11.91,Parafuso com colar M8,MS362/462
0000-664-2412,11.91,Parafuso com colar D8,MS193T/194T/HT133
0000-664-2413,11.91,Parafuso com colar M8,MS 651
0000-664-2417,11.91,Parafuso com colar M8,MS651/661
0000-670-0206,27.35,Parafuso oco,TS410/420/800
0000-670-0207,28.07,Parafuso oco,TS800/TSA230
0000-670-0300,190.72,Mangueira,BT45/TS350/410/420/510/760
0000-670-0401,19.9,Tela,BT45/TS350/760/420
0000-670-1700,26.35,"Manga da embreagem 1/2""",
0000-670-1701,26.35,"Manga da embreagem 3/4""",TS420
0000-670-5000,37.5,Válvula,BT45/TS350/760/420
0000-670-6600,68.87,Tubo da bomba,BT45/TS350/760/420
0000-670-6601,68.87,Tubo da bomba,SG21/31
0000-670-7702,65.62,Cabo,SG31
0000-670-7703,65.63,Cabo,SG21/31
0000-676-0500,21.68,Funil,BT45/TS350/760/420
0000-676-0501,25.68,Funil,SG21/31
0000-677-9101,22.31,Parafuso sextavado M6,USG
0000-679-2000,3.95,Junta de vedação,TS420/800
0000-700-5600,236.41,Bomba,TS420/800
0000-703-3705,6.66,Parafuso,RMA370
0000-706-4100,3.51,Capa,SR400/420
0000-706-4601,4.23,Bujão do fecho,TS800
0000-708-4200,22.44,Luva do eixo,TS420
0000-711-2500,25.32,Luva,FS75/FS85R/120/250/FR85/220/350/KA85R/120/KM55/HT70K/KA120/KMA135
0000-711-8700,10.83,Parafuso com colar,BT120/121
0000-716-3100,22.71,Placa de apoio,fs220/160/220/250/280/300/350?fr350
0000-760-1800,26.75,Cabo giratório,RMA370
0000-790-3901,51.41,Proteção p/transporte,Proteção p/transporte Roçadeiras
0000-790-6100,11.54,Parafuso combinado M4,MS260
0000-790-6103,17.27,Parafuso combinado M5,MS034/036/360/046/460/066
0000-790-6105,7.91,Parafuso combinado M6,FS460
0000-790-6106,15.84,Parafuso combinado,MSA300
0000-790-8801,28.07,Braçadeira de suporte,FS85/KA120/HTA86
0000-790-8803,34.79,"Olhal de transporte Ø 25,4",KM85R/SPA65/HLA65
0000-790-8806,29.57,Olhal de transporte,FS160
0000-790-9200,32.45,"Proteção da lâmina 500 mm / 20""",HL145
0000-791-2005,172.09,Mangueira Ø 23 mm x 5 m,MS051/076
0000-791-2009,170.09,Mangueira em metro Ø 19 mm x 5 m,MS08/038/046/382/460/066/660/650/651/661
0000-791-2011,168.69,"Mangueira do cabo  Ø 19,8 mm x 5 m",MS462
0000-791-3102,17.89,Mola,TS800
0000-791-3106,11.08,Mola,MS 1148
0000-791-3107,11.93,Mola,MS 1148
0000-791-3110,9.37,Mola,HT75/HT133
0000-791-7904,6.2,Bucha,MS462/651/661
0000-792-4200,15.57,Cinta tensora,FW20
0000-792-9129,16,Proteção da corrente,MS08/034/036/038/039/310/390/046/460/066
0000-792-9164,10.14,Proteção da corrente,GTA26
0000-792-9600,35.12,"Proteção da lâmina 500 mm / 20""",HSE61/HSE52/HSA56/66/50
0000-793-2000,7.44,Mola com haste,TSA230
0000-793-3500,3.76,Mola,TS800
0000-850-1300,1654.22,Bomba,MS162/172/172C/182/212/MS08/034/362/382/038/051/076/194T/462/651/661/HS45/BR430/HT70K/TS800/FS300/350/380/460/BG/SH56/KA120/BG50/HT133
0000-855-0100,111.28,Mangueira,KA120/BG50/HT133/MS194T/462/651/661
0000-855-8106,5.59,Placa de vedação,MS162/172/172C/182/212/MS08/034/038/382/194T/PC70/75/BT130/BR430/HT70K/TS800/FS300/350/350/460/HS82R/BG/SH56/KA120/BG50/HT133/MS462/651/661
0000-855-8107,5.77,Placa de vedação,MS362/462
0000-855-9200,32.9,Nípel,MS162/172/172C/182/212/HS45/80/PC70/75/BT130/BR430/HT70K/TS800/MS362/382/194T/462/651/661/FS300/350/380/460/BG/SH56/KA120/BG50/HT133
