col,código_material,preço_real,qtde_mín,descrição,modelo,comentário,col,col,col,col,col
,0000-930-4311,108.69,1,"Fio corte CF3 Pro Ø 3,3 mm x 34,0 m 3K",AutoCut 46-2; TrimCut C 32-2; TrimCut C 42-2; FixCut 31-2; DuroCut 40-4,,,,,,
CORTADOR DE FIO DE CORTE,,,,,,,,,,,
,Código Material,Preço Real,Qtde Min.,Descrição,Modelo,,,,,,
,0000-881-8204,3.71,150,Cortador de fio de corte,Aplicável em todos os fios de corte,,,,,,
LÂMINAS P/ ROÇADEIRAS,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,Modelo,Comentário,,,,,
,4000-713-4103,133.82,1,Lâmina de 2 facas de aço 305-2 Especial,FS160/220/280/290/300/350/380/460,,,,,,
,4001-713-3801,69.31,1,Lâmina 230-4,KA85R/KM55R/85R/FR85/220/E65/FS44/55/80/85/86/106/108/120/130/250/220/350/380/460,,,,,,
,4001-713-3803,64.31,1,Lâmina 230-8,KA85R/KM55R/85R/FR85/220/E65/FS44/55/80/85/86/106/108/120/130/250/220/350/380/460,,,,,,
,4001-713-3805,41.44,1,Lâmina 230-2,KA85R/KM55R/85R/FR85/220/E65/FS44/55/80/85/86/106/108/120/130/250/220,,,,,,
,4001-713-3812,69.3,1,Lâmina 260-2,FS80/FS85/FS120/FS130/KA85R/KM85R/KA120R,,,,,,
,4112-713-4100,70.99,1,"Lâmina de 3 facas, Ø 250 mm",KA85R/KM55R/85R/FR 220/FS 55/80/85/120/131,,,,,,
,4119-713-4100,104.57,1,"Lâmina de 3 facas, Ø 300 mm",FS160/220/280/290/300/350/380/460,,,,,,
,4133-713-4101,31.32,1,"Lâmina Ø 200x2,4 mm",FCS,,,,,,
,4000-713-3903,313.59,1,Lâmina do triturador 270-2,FS160/220/290/300/350/380/FS460,,,,,,
PROTEÇÃO P/ TRANSPORTE,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,Modelo,Comentário,,,,,
,FA01-717-3000,61.08,1,Proteção p/transporte,FS,,,,,,
,4116-790-3901,89.95,1,Proteção p/transporte Ø 350,FS130/300/350,,,,,,
,4119-790-3901,54.75,1,Proteção p/transporte Ø 225,FS88/108/120/250/FR108,,,,,,
REMOVEDOR DE ERVAS DANINHAS,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,Modelo,Comentário,,,,,
,4180-740-5101,1299,1,RG Removedor de ervas daninhas,FS85/120/131KA85R/120R,,,,,,
,4180-007-4100,388.55,1,Jogo de manutenção RG / RG-KM,RG Removedor de ervas daninhas,,,,,,
SERRA CIRCULAR ROÇADEIRAS,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,Modelo,Comentário,,,,,
,4000-713-4200,99.32,1,"Serra circular 200-44, standard",FS160/220/280/290/300/350/380/460,,,,,,
,4110-713-4204,120.08,1,"Serra circular 225-24, especial",FS160/220/280/290/300/350/380/460,,,,,,
,4112-713-4201,99.26,1,"Serra circular 200-80, standard",FS85/86/88/106/108/120/130/250,,,,,,
,4112-713-4203,99.35,1,"Serra circular 200-22, especial",FS85/86/88/106/108/120/130/250,,,,,,
,4119-713-4200,99.36,1,"Serra circular 200-22, especial",FS160/220/280/290/300/350/380/460,,,,,,
ACESSÓRIOS PARA AFIAÇÃO,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,Modelo,Comentário,,,,,
,4020-893-5000,88.94,1,Travador para serras,Travador para Serra Circular FS85/160/220/290/300/350/380/460,,,,,,
,5605-750-4343,109,1,Suporte para lima,FS86/88/106/108/160/220/FR106/108,,1,10,5.2,82031010,795711072483
A INFORMAÇÃO DA COLUNA “T” REFERE-SE A SITUAÇÃO TRIBUTÁRIA VÁLIDA SOMENTE PARA O ESTADO DO RIO GRANDE DO SUL,,,,,,,,,,,
"                                      CONDIÇÕES DE VENDA :  PREÇO POSTO EM SÃO LEOPOLDO-RS, COM IPI INCLUSO",,,,,,,,,,,
